task_id,type,plate_id,crane_id,start_seconds,finish_seconds
R_L1_P003280_P005060_68,relocate,P005060,C1,5985.0,6051.0
R_L1_P003280_P001236_69,relocate,P001236,C1,6051.0,6117.0
R_L1_P003280_P001645_70,relocate,P001645,C1,6117.0,6183.0
R_L1_P003280_P002382_71,relocate,P002382,C1,6183.0,6249.0
R_L1_P003280_P007576_72,relocate,P007576,C1,6249.0,6315.0
R_L1_P003280_P008624_73,relocate,P008624,C1,6315.0,6381.0
OUT_L1_P003280_24,outbound,P003280,C1,6381.0,6447.0
R_L1_P005134_P006060_74,relocate,P006060,C1,6447.0,6513.0
R_L1_P005134_P009095_75,relocate,P009095,C1,6513.0,6579.0
R_L1_P005134_P003985_76,relocate,P003985,C1,6579.0,6645.0
R_L1_P005134_P006702_77,relocate,P006702,C1,6645.0,6711.0
R_L1_P005134_P000723_78,relocate,P000723,C1,6711.0,6777.0
R_L1_P005134_P001263_79,relocate,P001263,C1,6777.0,6843.0
OUT_L1_P005134_25,outbound,P005134,C1,6843.0,6909.0
R_L1_P000508_P009483_80,relocate,P009483,C1,6909.0,6975.0
R_L1_P000508_P009891_81,relocate,P009891,C1,6975.0,7041.0
R_L1_P000508_P002798_82,relocate,P002798,C1,7041.0,7107.0
R_L1_P000508_P004987_83,relocate,P004987,C1,7107.0,7173.0
R_L1_P000508_P007574_84,relocate,P007574,C1,7173.0,7239.0
R_L1_P000508_P008462_85,relocate,P008462,C1,7239.0,7305.0
OUT_L1_P000508_26,outbound,P000508,C1,7305.0,7371.0
R_L1_P001776_P006498_86,relocate,P006498,C1,7371.0,7437.0
R_L1_P001776_P008669_87,relocate,P008669,C1,7437.0,7503.0
R_L1_P001776_P005995_88,relocate,P005995,C1,7503.0,7569.0
OUT_L1_P001776_27,outbound,P001776,C1,7569.0,7635.0
OUT_L1_P009846_28,outbound,P009846,C1,7680.0,7746.0
R_L1_P005805_P006876_89,relocate,P006876,C1,7746.0,7812.0
R_L1_P005805_P003507_90,relocate,P003507,C1,7812.0,7878.0
R_L1_P005805_P006292_91,relocate,P006292,C1,7878.0,7944.0
R_L1_P005805_P001259_92,relocate,P001259,C1,7944.0,8010.0
R_L1_P005805_P008621_93,relocate,P008621,C1,8010.0,8076.0
R_L1_P005805_P007817_94,relocate,P007817,C1,8076.0,8142.0
OUT_L1_P005805_29,outbound,P005805,C1,8142.0,8208.0
R_L1_P002965_P003256_95,relocate,P003256,C1,8208.0,8274.0
OUT_L1_P002965_30,outbound,P002965,C1,8274.0,8340.0
R_L1_P002907_P003683_96,relocate,P003683,C1,8340.0,8406.0
R_L1_P002907_P004307_97,relocate,P004307,C1,8406.0,8472.0
R_L1_P002907_P000394_98,relocate,P000394,C1,8472.0,8538.0
R_L1_P002907_P005299_99,relocate,P005299,C1,8538.0,8604.0
R_L1_P002907_P006007_100,relocate,P006007,C1,8604.0,8670.0
R_L1_P002907_P002734_101,relocate,P002734,C1,8670.0,8736.0
OUT_L1_P002907_31,outbound,P002907,C1,8736.0,8802.0
R_L1_P005345_P007955_102,relocate,P007955,C1,8802.0,8868.0
R_L1_P005345_P001796_103,relocate,P001796,C1,8868.0,8934.0
R_L1_P005345_P000518_104,relocate,P000518,C1,8934.0,9000.0
OUT_L1_P005345_32,outbound,P005345,C1,9000.0,9066.0
R_L1_P001752_P009700_105,relocate,P009700,C1,9066.0,9132.0
R_L1_P001752_P008777_106,relocate,P008777,C1,9132.0,9198.0
R_L1_P001752_P003571_107,relocate,P003571,C1,9198.0,9264.0
R_L1_P001752_P007763_108,relocate,P007763,C1,9264.0,9330.0
R_L1_P001752_P004172_109,relocate,P004172,C1,9330.0,9396.0
R_L1_P001752_P005641_110,relocate,P005641,C1,9396.0,9462.0
R_L1_P001752_P000773_111,relocate,P000773,C1,9462.0,9528.0
OUT_L1_P001752_33,outbound,P001752,C1,9528.0,9594.0
R_L1_P002777_P004064_112,relocate,P004064,C1,9594.0,9660.0
R_L1_P002777_P009646_113,relocate,P009646,C1,9660.0,9726.0
R_L1_P002777_P002392_114,relocate,P002392,C1,9726.0,9792.0
R_L1_P002777_P003098_115,relocate,P003098,C1,9792.0,9858.0
R_L1_P002777_P005914_116,relocate,P005914,C1,9858.0,9924.0
R_L1_P002777_P004372_117,relocate,P004372,C1,9924.0,9990.0
R_L1_P002777_P009840_118,relocate,P009840,C1,9990.0,10056.0
OUT_L1_P002777_34,outbound,P002777,C1,10056.0,10122.0
R_L1_P002706_P001394_119,relocate,P001394,C1,10122.0,10188.0
OUT_L1_P002706_35,outbound,P002706,C1,10188.0,10254.0
OUT_L1_P006020_36,outbound,P006020,C1,10299.0,10365.0
R_L1_P003046_P009117_120,relocate,P009117,C1,10365.0,10431.0
R_L1_P003046_P003923_121,relocate,P003923,C1,10431.0,10497.0
R_L1_P003046_P000922_122,relocate,P000922,C1,10497.0,10563.0
R_L1_P003046_P005385_123,relocate,P005385,C1,10563.0,10629.0
R_L1_P003046_P000352_124,relocate,P000352,C1,10629.0,10695.0
R_L1_P003046_P005977_125,relocate,P005977,C1,10695.0,10761.0
R_L1_P003046_P001762_126,relocate,P001762,C1,10761.0,10827.0
OUT_L1_P003046_37,outbound,P003046,C1,10827.0,10893.0
R_L1_P001407_P002207_127,relocate,P002207,C1,10893.0,10959.0
R_L1_P001407_P007232_128,relocate,P007232,C1,10959.0,11025.0
R_L1_P001407_P003359_129,relocate,P003359,C1,11025.0,11091.0
OUT_L1_P001407_38,outbound,P001407,C1,11091.0,11157.0
R_L1_P007027_P006624_130,relocate,P006624,C1,11157.0,11223.0
R_L1_P007027_P000152_131,relocate,P000152,C1,11223.0,11289.0
R_L1_P007027_P001657_132,relocate,P001657,C1,11289.0,11355.0
R_L1_P007027_P006743_133,relocate,P006743,C1,11355.0,11421.0
R_L1_P007027_P004215_134,relocate,P004215,C1,11421.0,11487.0
R_L1_P007027_P006136_135,relocate,P006136,C1,11487.0,11553.0
R_L1_P007027_P008320_136,relocate,P008320,C1,11553.0,11619.0
OUT_L1_P007027_39,outbound,P007027,C1,11619.0,11685.0
R_L1_P008064_P008504_137,relocate,P008504,C1,11685.0,11751.0
R_L1_P008064_P004772_138,relocate,P004772,C1,11751.0,11817.0
R_L1_P008064_P009022_139,relocate,P009022,C1,11817.0,11883.0
R_L1_P008064_P005677_140,relocate,P005677,C1,11883.0,11949.0
R_L1_P008064_P004749_141,relocate,P004749,C1,11949.0,12015.0
