cutting_line_id,seq_no,plate_id,eta_seconds,start_seconds,finish_seconds
L1,116,P002115,47727.0,47727.0,47793.0
L1,117,P002602,47925.0,47925.0,47991.0
L1,118,P009336,48717.0,48717.0,48783.0
L1,119,P004149,49377.0,49377.0,49443.0
L1,120,P004206,49575.0,49575.0,49641.0
L1,121,P005230,50103.0,50103.0,50169.0
L1,122,P004033,50697.0,50697.0,50763.0
L1,123,P001672,50895.0,50895.0,50961.0
L1,124,P002531,51621.0,51621.0,51687.0
L1,125,P003030,52149.0,52149.0,52215.0
L1,126,P008439,52875.0,52875.0,52941.0
L1,127,P002060,53205.0,53205.0,53271.0
L1,128,P005107,53667.0,53667.0,53733.0
L1,129,P002194,54525.0,54525.0,54591.0
L1,130,P005495,55383.0,55383.0,55449.0
L1,131,P002719,55494.0,55494.0,55560.0
L1,132,P006917,56352.0,56352.0,56418.0
L1,133,P006890,56748.0,56748.0,56814.0
L1,134,P000334,57342.0,57342.0,57408.0
L1,135,P002507,57606.0,57606.0,57672.0
L1,136,P007516,58068.0,58068.0,58134.0
L1,137,P008739,58728.0,58728.0,58794.0
L1,138,P003381,59586.0,59586.0,59652.0
L1,139,P009608,60444.0,60444.0,60510.0
L1,140,P006825,60555.0,60555.0,60621.0
L1,141,P004237,61479.0,61479.0,61545.0
L1,142,P003529,62007.0,62007.0,62073.0
L1,143,P007336,62733.0,62733.0,62799.0
L1,144,P007445,63261.0,63261.0,63327.0
L1,145,P004540,64185.0,64185.0,64251.0
L1,146,P008035,64515.0,64515.0,64581.0
L1,147,P005082,65439.0,65439.0,65505.0
L1,148,P000690,66363.0,66363.0,66429.0
L1,149,P005698,66474.0,66474.0,66540.0
L1,150,P003487,67332.0,67332.0,67398.0
L1,151,P006981,68256.0,68256.0,68322.0
L1,152,P001800,69246.0,69246.0,69312.0
L1,153,P001847,70236.0,70236.0,70302.0
L1,154,P006088,70962.0,70962.0,71028.0
L1,155,P002070,71094.0,71094.0,71160.0
L1,156,P000575,71358.0,71358.0,71424.0
L1,157,P006596,71469.0,71469.0,71535.0
L1,158,P004573,71997.0,71997.0,72063.0
L1,159,P000192,72723.0,72723.0,72789.0
L1,160,P002972,73581.0,73581.0,73647.0
L1,161,P006003,74373.0,74373.0,74439.0
L1,162,P006562,75165.0,75165.0,75231.0
L1,163,P009457,75693.0,75693.0,75759.0
L1,164,P003106,76683.0,76683.0,76749.0
L1,165,P001233,77343.0,77343.0,77409.0
L1,166,P003292,78333.0,78333.0,78399.0
L1,167,P003395,79257.0,79257.0,79323.0
L1,168,P000132,79917.0,79917.0,79983.0
