task_id,type,plate_id,crane_id,start_seconds,finish_seconds
R_L1_P003106_P002795_1,relocate,P002795,C1,0.0,66.0
R_L1_P003106_P007758_2,relocate,P007758,C1,66.0,132.0
R_L1_P003106_P009770_3,relocate,P009770,C1,132.0,198.0
R_L1_P003106_P007024_4,relocate,P007024,C1,198.0,264.0
R_L1_P003106_P008893_5,relocate,P008893,C1,264.0,330.0
R_L1_P003106_P002130_6,relocate,P002130,C1,330.0,396.0
R_L1_P003106_P000461_7,relocate,P000461,C1,396.0,462.0
R_L1_P003106_P003496_8,relocate,P003496,C1,462.0,528.0
R_L1_P003106_P004062_9,relocate,P004062,C1,528.0,594.0
R_L1_P003106_P000727_10,relocate,P000727,C1,594.0,660.0
R_L1_P003106_P009675_11,relocate,P009675,C1,660.0,726.0
R_L1_P003106_P006605_12,relocate,P006605,C1,726.0,792.0
R_L1_P003106_P002381_13,relocate,P002381,C1,792.0,858.0
R_L1_P003106_P007260_14,relocate,P007260,C1,858.0,924.0
OUT_L1_P003106_1,outbound,P003106,C1,924.0,990.0
R_L1_P005911_P004730_15,relocate,P004730,C1,990.0,1056.0
R_L1_P005911_P003174_16,relocate,P003174,C1,1056.0,1122.0
R_L1_P005911_P000591_17,relocate,P000591,C1,1122.0,1188.0
R_L1_P005911_P009146_18,relocate,P009146,C1,1188.0,1254.0
R_L1_P005911_P007217_19,relocate,P007217,C1,1254.0,1320.0
R_L1_P005911_P002191_20,relocate,P002191,C1,1320.0,1386.0
R_L1_P005911_P009555_21,relocate,P009555,C1,1386.0,1452.0
R_L1_P005911_P001370_22,relocate,P001370,C1,1452.0,1518.0
R_L1_P005911_P006704_23,relocate,P006704,C1,1518.0,1584.0
R_L1_P005911_P006599_24,relocate,P006599,C1,1584.0,1650.0
R_L1_P005911_P007533_25,relocate,P007533,C1,1650.0,1716.0
R_L1_P005911_P004640_26,relocate,P004640,C1,1716.0,1782.0
R_L1_P005911_P002376_27,relocate,P002376,C1,1782.0,1848.0
R_L1_P005911_P004004_28,relocate,P004004,C1,1848.0,1914.0
R_L1_P005911_P006254_29,relocate,P006254,C1,1914.0,1980.0
R_L1_P005911_P007370_30,relocate,P007370,C1,1980.0,2046.0
R_L1_P005911_P008914_31,relocate,P008914,C1,2046.0,2112.0
R_L1_P005911_P007301_32,relocate,P007301,C1,2112.0,2178.0
OUT_L1_P005911_2,outbound,P005911,C1,2178.0,2244.0
R_L1_P002497_P009149_33,relocate,P009149,C1,2244.0,2310.0
R_L1_P002497_P009854_34,relocate,P009854,C1,2310.0,2376.0
R_L1_P002497_P002644_35,relocate,P002644,C1,2376.0,2442.0
R_L1_P002497_P006637_36,relocate,P006637,C1,2442.0,2508.0
R_L1_P002497_P000646_37,relocate,P000646,C1,2508.0,2574.0
R_L1_P002497_P001822_38,relocate,P001822,C1,2574.0,2640.0
R_L1_P002497_P006613_39,relocate,P006613,C1,2640.0,2706.0
R_L1_P002497_P002184_40,relocate,P002184,C1,2706.0,2772.0
R_L1_P002497_P003450_41,relocate,P003450,C1,2772.0,2838.0
R_L1_P002497_P001721_42,relocate,P001721,C1,2838.0,2904.0
R_L1_P002497_P003905_43,relocate,P003905,C1,2904.0,2970.0
OUT_L1_P002497_3,outbound,P002497,C1,2970.0,3036.0
R_L1_P005593_P007151_44,relocate,P007151,C1,3036.0,3102.0
R_L1_P005593_P007226_45,relocate,P007226,C1,3102.0,3168.0
R_L1_P005593_P005108_46,relocate,P005108,C1,3168.0,3234.0
R_L1_P005593_P003043_47,relocate,P003043,C1,3234.0,3300.0
R_L1_P005593_P008850_48,relocate,P008850,C1,3300.0,3366.0
R_L1_P005593_P004926_49,relocate,P004926,C1,3366.0,3432.0
R_L1_P005593_P002561_50,relocate,P002561,C1,3432.0,3498.0
R_L1_P005593_P001766_51,relocate,P001766,C1,3498.0,3564.0
