task_id,type,plate_id,crane_id,start_seconds,finish_seconds
OUT_L1_P007576_75,outbound,P007576,C1,6138.0,6204.0
R_L1_P001534_P004277_20,relocate,P004277,C1,6204.0,6270.0
OUT_L1_P001534_76,outbound,P001534,C1,6270.0,6336.0
R_L1_P002802_P008726_21,relocate,P008726,C1,6336.0,6402.0
OUT_L1_P002802_77,outbound,P002802,C1,6402.0,6468.0
R_L1_P001065_P004741_22,relocate,P004741,C1,6468.0,6534.0
OUT_L1_P001065_78,outbound,P001065,C1,6534.0,6600.0
R_L1_P007708_P008049_23,relocate,P008049,C1,6600.0,6666.0
OUT_L1_P007708_79,outbound,P007708,C1,6666.0,6732.0
R_L1_P008807_P003615_24,relocate,P003615,C1,6732.0,6798.0
OUT_L1_P008807_80,outbound,P008807,C1,6798.0,6864.0
R_L1_P003557_P008807_25,relocate,P008807,C1,6864.0,6930.0
OUT_L1_P003557_81,outbound,P003557,C1,6930.0,6996.0
R_L1_P006698_P008018_26,relocate,P008018,C1,6996.0,7062.0
OUT_L1_P006698_82,outbound,P006698,C1,7062.0,7128.0
R_L1_P006951_P001187_27,relocate,P001187,C1,7128.0,7194.0
OUT_L1_P006951_83,outbound,P006951,C1,7194.0,7260.0
R_L1_P004173_P005664_28,relocate,P005664,C1,7260.0,7326.0
OUT_L1_P004173_84,outbound,P004173,C1,7326.0,7392.0
R_L1_P009896_P004173_29,relocate,P004173,C1,7392.0,7458.0
OUT_L1_P009896_85,outbound,P009896,C1,7458.0,7524.0
R_L1_P002706_P001394_30,relocate,P001394,C1,7524.0,7590.0
OUT_L1_P002706_86,outbound,P002706,C1,7590.0,7656.0
R_L1_P000447_P009569_31,relocate,P009569,C1,7656.0,7722.0
OUT_L1_P000447_87,outbound,P000447,C1,7722.0,7788.0
R_L1_P006199_P000873_32,relocate,P000873,C1,7788.0,7854.0
OUT_L1_P006199_88,outbound,P006199,C1,7854.0,7920.0
R_L1_P003991_P009934_33,relocate,P009934,C1,7920.0,7986.0
OUT_L1_P003991_89,outbound,P003991,C1,7986.0,8052.0
R_L1_P003468_P001773_34,relocate,P001773,C1,8052.0,8118.0
OUT_L1_P003468_90,outbound,P003468,C1,8118.0,8184.0
R_L1_P003323_P009444_35,relocate,P009444,C1,8184.0,8250.0
OUT_L1_P003323_91,outbound,P003323,C1,8250.0,8316.0
R_L1_P006269_P001476_36,relocate,P001476,C1,8316.0,8382.0
OUT_L1_P006269_92,outbound,P006269,C1,8382.0,8448.0
R_L1_P008577_P004845_37,relocate,P004845,C1,8448.0,8514.0
OUT_L1_P008577_93,outbound,P008577,C1,8514.0,8580.0
R_L1_P004124_P006733_38,relocate,P006733,C1,8580.0,8646.0
OUT_L1_P004124_94,outbound,P004124,C1,8646.0,8712.0
R_L1_P001351_P001648_39,relocate,P001648,C1,8712.0,8778.0
OUT_L1_P001351_95,outbound,P001351,C1,8778.0,8844.0
