cutting_line_id,seq_no,plate_id,eta_seconds,start_seconds,finish_seconds
L1,134,P008672,14322.0,14322.0,14388.0
L1,135,P001477,14520.0,14520.0,14586.0
L1,136,P001672,14718.0,14718.0,14784.0
L1,137,P002669,14916.0,14916.0,14982.0
L1,138,P003158,15114.0,15114.0,15180.0
L1,139,P006778,15312.0,15312.0,15378.0
L1,140,P001963,15444.0,15444.0,15510.0
L1,141,P009672,15642.0,15642.0,15708.0
L1,142,P006792,15840.0,15840.0,15906.0
L1,143,P004869,15972.0,15972.0,16038.0
L1,144,P006996,16170.0,16170.0,16236.0
L1,145,P005391,16368.0,16368.0,16434.0
L1,146,P005299,16566.0,16566.0,16632.0
L1,147,P009660,16764.0,16764.0,16830.0
L1,148,P008291,16962.0,16962.0,17028.0
L1,149,P005029,17160.0,17160.0,17226.0
L1,150,P000698,17292.0,17292.0,17358.0
L1,151,P004900,17490.0,17490.0,17556.0
L1,152,P003579,17622.0,17622.0,17688.0
L1,153,P006019,17820.0,17820.0,17886.0
L1,154,P000717,17952.0,17952.0,18018.0
L1,155,P004539,18150.0,18150.0,18216.0
L1,156,P001393,18348.0,18348.0,18414.0
L1,157,P002278,18546.0,18546.0,18612.0
L1,158,P001458,18744.0,18744.0,18810.0
L1,159,P006401,18942.0,18942.0,19008.0
L1,160,P002602,19140.0,19140.0,19206.0
L1,161,P006968,19338.0,19338.0,19404.0
L1,162,P004191,19536.0,19536.0,19602.0
L1,163,P009712,19734.0,19734.0,19800.0
L1,164,P003287,19932.0,19932.0,19998.0
L1,165,P006442,20130.0,20130.0,20196.0
L1,166,P009525,20328.0,20328.0,20394.0
L1,167,P003596,20526.0,20526.0,20592.0
L1,168,P000948,20724.0,20724.0,20790.0
L1,169,P006626,20922.0,20922.0,20988.0
L1,170,P007792,21120.0,21120.0,21186.0
L1,171,P001076,21318.0,21318.0,21384.0
L1,172,P003973,21516.0,21516.0,21582.0
L1,173,P002714,21648.0,21648.0,21714.0
L1,174,P003450,21846.0,21846.0,21912.0
L1,175,P004835,22044.0,22044.0,22110.0
L1,176,P009244,22176.0,22176.0,22242.0
L1,177,P000814,22374.0,22374.0,22440.0
L1,178,P009649,22572.0,22572.0,22638.0
L1,179,P001221,22770.0,22770.0,22836.0
L1,180,P001240,22968.0,22968.0,23034.0
L1,181,P006306,23166.0,23166.0,23232.0
L1,182,P006302,23364.0,23364.0,23430.0
L1,183,P009562,23562.0,23562.0,23628.0
L1,184,P005046,23760.0,23760.0,23826.0
L1,185,P008054,23958.0,23958.0,24024.0
L1,186,P008452,24156.0,24156.0,24222.0
L1,187,P000575,24288.0,24288.0,24354.0
L1,188,P008280,24486.0,24486.0,24552.0
L1,189,P007167,24684.0,24684.0,24750.0
L1,190,P004945,24882.0,24882.0,24948.0
L1,191,P004607,25080.0,25080.0,25146.0
L1,192,P000167,25278.0,25278.0,25344.0
L1,193,P004206,25476.0,25476.0,25542.0
L1,194,P003240,25608.0,25608.0,25674.0
L1,195,P007451,25806.0,25806.0,25872.0
L1,196,P000624,26070.0,26070.0,26136.0
L1,197,P009717,26202.0,26202.0,26268.0
L1,198,P007788,26466.0,26466.0,26532.0
L1,199,P007008,26730.0,26730.0,26796.0
L1,200,P006361,26994.0,26994.0,27060.0
L1,201,P008483,27258.0,27258.0,27324.0
L1,202,P003676,27522.0,27522.0,27588.0
L1,203,P004512,27786.0,27786.0,27852.0
L1,204,P008886,28050.0,28050.0,28116.0
L1,205,P005068,28314.0,28314.0,28380.0
L1,206,P004252,28578.0,28578.0,28644.0
L1,207,P006552,28842.0,28842.0,28908.0
L1,208,P003584,29106.0,29106.0,29172.0
L1,209,P000275,29370.0,29370.0,29436.0
L1,210,P006260,29634.0,29634.0,29700.0
L1,211,P004447,29898.0,29898.0,29964.0
L1,212,P004599,30162.0,30162.0,30228.0
L1,213,P009161,30426.0,30426.0,30492.0
L1,214,P000299,30690.0,30690.0,30756.0
L1,215,P002705,30954.0,30954.0,31020.0
L1,216,P002507,31218.0,31218.0,31284.0
L1,217,P009952,31482.0,31482.0,31548.0
L1,218,P000511,31746.0,31746.0,31812.0
L1,219,P001298,32010.0,32010.0,32076.0
L1,220,P009019,32274.0,32274.0,32340.0
L1,221,P003516,32472.0,32472.0,32538.0
L1,222,P007672,32670.0,32670.0,32736.0
L1,223,P005983,32934.0,32934.0,33000.0
L1,224,P003997,33198.0,33198.0,33264.0
L1,225,P007157,33396.0,33396.0,33462.0
L1,226,P004985,33660.0,33660.0,33726.0
L1,227,P001859,33924.0,33924.0,33990.0
L1,228,P009382,34188.0,34188.0,34254.0
L1,229,P009327,34452.0,34452.0,34518.0
L1,230,P008732,34716.0,34716.0,34782.0
L1,231,P005074,34848.0,34848.0,34914.0
L1,232,P004646,35046.0,35046.0,35112.0
L1,233,P009784,35310.0,35310.0,35376.0
L1,234,P009733,35508.0,35508.0,35574.0
L1,235,P002839,35772.0,35772.0,35838.0
L1,236,P009311,36036.0,36036.0,36102.0
L1,237,P001407,36300.0,36300.0,36366.0
L1,238,P006781,36564.0,36564.0,36630.0
L1,239,P006688,36828.0,36828.0,36894.0
L1,240,P006251,36960.0,36960.0,37026.0
L1,241,P008546,37224.0,37224.0,37290.0
L1,242,P001247,37422.0,37422.0,37488.0
L1,243,P000030,37686.0,37686.0,37752.0
L1,244,P007976,37950.0,37950.0,38016.0
L1,245,P008029,38148.0,38148.0,38214.0
L1,246,P004045,38280.0,38280.0,38346.0
L1,247,P006226,38544.0,38544.0,38610.0
L1,248,P006888,38808.0,38808.0,38874.0
L1,249,P008466,39072.0,39072.0,39138.0
L1,250,P004853,39336.0,39336.0,39402.0
L1,251,P007144,39600.0,39600.0,39666.0
L1,252,P001776,39864.0,39864.0,39930.0
L1,253,P004827,40128.0,40128.0,40194.0
L1,254,P008035,40260.0,40260.0,40326.0
L1,255,P004998,40524.0,40524.0,40590.0
L1,256,P005618,40788.0,40788.0,40854.0
L1,257,P004283,41052.0,41052.0,41118.0
L1,258,P006890,41250.0,41250.0,41316.0
L1,259,P003019,41514.0,41514.0,41580.0
L1,260,P008759,41646.0,41646.0,41712.0
L1,261,P009905,41844.0,41844.0,41910.0
L1,262,P001624,41976.0,41976.0,42042.0
L1,263,P008618,42240.0,42240.0,42306.0
L1,264,P004167,42438.0,42438.0,42504.0
L1,265,P009225,42702.0,42702.0,42768.0
L1,266,P002675,42966.0,42966.0,43032.0
L1,267,P000929,43230.0,43230.0,43296.0
L1,268,P001198,43494.0,43494.0,43560.0
L1,269,P002443,43692.0,43692.0,43758.0
L1,270,P002468,43824.0,43824.0,43890.0
L1,271,P005332,44088.0,44088.0,44154.0
L1,272,P009032,44352.0,44352.0,44418.0
L1,273,P002064,44616.0,44616.0,44682.0
L1,274,P005182,44880.0,44880.0,44946.0
L1,275,P002388,45144.0,45144.0,45210.0
L1,276,P004880,45408.0,45408.0,45474.0
L1,277,P004609,45672.0,45672.0,45738.0
L1,278,P008301,45936.0,45936.0,46002.0
L1,279,P005345,46200.0,46200.0,46266.0
L1,280,P009242,46464.0,46464.0,46530.0
L1,281,P000343,46728.0,46728.0,46794.0
L1,282,P004834,46992.0,46992.0,47058.0
L1,283,P004615,47256.0,47256.0,47322.0
L1,284,P007694,47586.0,47586.0,47652.0
