cutting_line_id,seq_no,plate_id,eta_seconds,start_seconds,finish_seconds
L1,1,P003106,924.0,924.0,990.0
L1,2,P005911,2178.0,2178.0,2244.0
L1,3,P002497,2970.0,2970.0,3036.0
L1,4,P005593,3564.0,3564.0,3630.0
L1,5,P009608,4884.0,4884.0,4950.0
L1,6,P003676,5148.0,5148.0,5214.0
L1,7,P004033,6270.0,6270.0,6336.0
L1,8,P004599,6534.0,6534.0,6600.0
L1,9,P005012,7920.0,7920.0,7986.0
L1,10,P005210,8910.0,8910.0,8976.0
L1,11,P002973,9240.0,9240.0,9306.0
L1,12,P006981,10164.0,10164.0,10230.0
L1,13,P000228,10758.0,10758.0,10824.0
L1,14,P008064,11286.0,11286.0,11352.0
L1,15,P006688,11550.0,11550.0,11616.0
L1,16,P008439,12936.0,12936.0,13002.0
L1,17,P000180,14322.0,14322.0,14388.0
L1,18,P005134,14784.0,14784.0,14850.0
L1,19,P008291,15114.0,15114.0,15180.0
L1,20,P009717,15774.0,15774.0,15840.0
L1,21,P007581,16434.0,16434.0,16500.0
L1,22,P007975,17028.0,17028.0,17094.0
L1,23,P000045,17094.0,17094.0,17160.0
L1,24,P005495,17952.0,17952.0,18018.0
L1,25,P003280,18414.0,18414.0,18480.0
L1,26,P002126,19140.0,19140.0,19206.0
L1,27,P003682,20130.0,20130.0,20196.0
L1,28,P007167,20328.0,20328.0,20394.0
L1,29,P001752,20856.0,20856.0,20922.0
L1,30,P004237,21780.0,21780.0,21846.0
L1,31,P006072,21912.0,21912.0,21978.0
L1,32,P007288,22902.0,22902.0,22968.0
L1,33,P003448,23892.0,23892.0,23958.0
L1,34,P002389,24552.0,24552.0,24618.0
L1,35,P002777,25080.0,25080.0,25146.0
L1,36,P005429,26466.0,26466.0,26532.0
L1,37,P001538,27654.0,27654.0,27720.0
L1,38,P008278,28182.0,28182.0,28248.0
L1,39,P004430,28248.0,28248.0,28314.0
L1,40,P007157,28644.0,28644.0,28710.0
L1,41,P009264,30030.0,30030.0,30096.0
L1,42,P005431,30888.0,30888.0,30954.0
L1,43,P009784,31152.0,31152.0,31218.0
L1,44,P000782,32340.0,32340.0,32406.0
L1,45,P004391,33660.0,33660.0,33726.0
L1,46,P005805,33726.0,33726.0,33792.0
L1,47,P009597,34584.0,34584.0,34650.0
L1,48,P005870,35178.0,35178.0,35244.0
L1,49,P003411,35244.0,35244.0,35310.0
L1,50,P000901,35508.0,35508.0,35574.0
L1,51,P009901,36630.0,36630.0,36696.0
L1,52,P006149,36762.0,36762.0,36828.0
L1,53,P004323,37884.0,37884.0,37950.0
L1,54,P007205,38940.0,38940.0,39006.0
L1,55,P001739,39006.0,39006.0,39072.0
L1,56,P004262,40260.0,40260.0,40326.0
L1,57,P001847,41250.0,41250.0,41316.0
L1,58,P000766,42306.0,42306.0,42372.0
L1,59,P002823,42702.0,42702.0,42768.0
