task_id,plate_id,from,to,reason,estimated_seconds
R_L1_P003106_P002795_1,P002795,"{'area': 'C', 'stack_id': 'C-S118', 'level': 8}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P003106_P007758_2,P007758,"{'area': 'C', 'stack_id': 'C-S118', 'level': 9}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P003106_P009770_3,P009770,"{'area': 'C', 'stack_id': 'C-S118', 'level': 10}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P003106_P007024_4,P007024,"{'area': 'C', 'stack_id': 'C-S118', 'level': 11}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P003106_P008893_5,P008893,"{'area': 'C', 'stack_id': 'C-S118', 'level': 12}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P003106_P002130_6,P002130,"{'area': 'C', 'stack_id': 'C-S118', 'level': 13}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P003106_P000461_7,P000461,"{'area': 'C', 'stack_id': 'C-S118', 'level': 14}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P003106_P003496_8,P003496,"{'area': 'C', 'stack_id': 'C-S118', 'level': 15}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P003106_P004062_9,P004062,"{'area': 'C', 'stack_id': 'C-S118', 'level': 16}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P003106_P000727_10,P000727,"{'area': 'C', 'stack_id': 'C-S118', 'level': 17}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P003106_P009675_11,P009675,"{'area': 'C', 'stack_id': 'C-S118', 'level': 18}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P003106_P006605_12,P006605,"{'area': 'C', 'stack_id': 'C-S118', 'level': 19}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P003106_P002381_13,P002381,"{'area': 'C', 'stack_id': 'C-S118', 'level': 20}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P003106_P007260_14,P007260,"{'area': 'C', 'stack_id': 'C-S118', 'level': 21}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P005911_P004730_15,P004730,"{'area': 'C', 'stack_id': 'C-S013', 'level': 3}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P005911_P003174_16,P003174,"{'area': 'C', 'stack_id': 'C-S013', 'level': 4}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P005911_P000591_17,P000591,"{'area': 'C', 'stack_id': 'C-S013', 'level': 5}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P005911_P009146_18,P009146,"{'area': 'C', 'stack_id': 'C-S013', 'level': 6}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P005911_P007217_19,P007217,"{'area': 'C', 'stack_id': 'C-S013', 'level': 7}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P005911_P002191_20,P002191,"{'area': 'C', 'stack_id': 'C-S013', 'level': 8}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P005911_P009555_21,P009555,"{'area': 'C', 'stack_id': 'C-S013', 'level': 9}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P005911_P001370_22,P001370,"{'area': 'C', 'stack_id': 'C-S013', 'level': 10}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P005911_P006704_23,P006704,"{'area': 'C', 'stack_id': 'C-S013', 'level': 11}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P005911_P006599_24,P006599,"{'area': 'C', 'stack_id': 'C-S013', 'level': 12}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P005911_P007533_25,P007533,"{'area': 'C', 'stack_id': 'C-S013', 'level': 13}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P005911_P004640_26,P004640,"{'area': 'C', 'stack_id': 'C-S013', 'level': 14}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P005911_P002376_27,P002376,"{'area': 'C', 'stack_id': 'C-S013', 'level': 15}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P005911_P004004_28,P004004,"{'area': 'C', 'stack_id': 'C-S013', 'level': 16}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P005911_P006254_29,P006254,"{'area': 'C', 'stack_id': 'C-S013', 'level': 17}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P005911_P007370_30,P007370,"{'area': 'C', 'stack_id': 'C-S013', 'level': 18}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P005911_P008914_31,P008914,"{'area': 'C', 'stack_id': 'C-S013', 'level': 19}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P005911_P007301_32,P007301,"{'area': 'C', 'stack_id': 'C-S013', 'level': 20}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002497_P009149_33,P009149,"{'area': 'D', 'stack_id': 'D-S063', 'level': 11}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002497_P009854_34,P009854,"{'area': 'D', 'stack_id': 'D-S063', 'level': 12}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002497_P002644_35,P002644,"{'area': 'D', 'stack_id': 'D-S063', 'level': 13}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002497_P006637_36,P006637,"{'area': 'D', 'stack_id': 'D-S063', 'level': 14}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002497_P000646_37,P000646,"{'area': 'D', 'stack_id': 'D-S063', 'level': 15}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002497_P001822_38,P001822,"{'area': 'D', 'stack_id': 'D-S063', 'level': 16}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002497_P006613_39,P006613,"{'area': 'D', 'stack_id': 'D-S063', 'level': 17}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002497_P002184_40,P002184,"{'area': 'D', 'stack_id': 'D-S063', 'level': 18}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002497_P003450_41,P003450,"{'area': 'D', 'stack_id': 'D-S063', 'level': 19}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002497_P001721_42,P001721,"{'area': 'D', 'stack_id': 'D-S063', 'level': 20}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P002497_P003905_43,P003905,"{'area': 'D', 'stack_id': 'D-S063', 'level': 21}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P005593_P007151_44,P007151,"{'area': 'D', 'stack_id': 'D-S032', 'level': 14}",{'buffer_id': 'BUF1'},unblock,66.0
R_L1_P005593_P007226_45,P007226,"{'area': 'D', 'stack_id': 'D-S032', 'level': 15}",{'buffer_id': 'BUF1'},unblock,66.0
