cutting_line_id,seq_no,plate_id,eta_seconds,start_seconds,finish_seconds
L1,132,P004694,65010.0,65010.0,65076.0
L1,133,P007499,65208.0,65208.0,65274.0
L1,134,P004898,66198.0,66198.0,66264.0
L1,135,P000492,66528.0,66528.0,66594.0
L1,136,P003185,67584.0,67584.0,67650.0
L1,137,P003729,68640.0,68640.0,68706.0
L1,138,P002589,68904.0,68904.0,68970.0
L1,139,P005682,69894.0,69894.0,69960.0
L1,140,P006406,70620.0,70620.0,70686.0
L1,141,P003078,70818.0,70818.0,70884.0
L1,142,P006880,70884.0,70884.0,70950.0
L1,143,P007347,70950.0,70950.0,71016.0
L1,144,P001860,71808.0,71808.0,71874.0
L1,145,P001404,72138.0,72138.0,72204.0
L1,146,P007549,72402.0,72402.0,72468.0
L1,147,P000506,72468.0,72468.0,72534.0
L1,148,P000845,72732.0,72732.0,72798.0
L1,149,P003034,73194.0,73194.0,73260.0
L1,150,P001123,74118.0,74118.0,74184.0
L1,151,P000740,74976.0,74976.0,75042.0
L1,152,P000355,75900.0,75900.0,75966.0
L1,153,P004227,76824.0,76824.0,76890.0
L1,154,P006560,76890.0,76890.0,76956.0
L1,155,P002463,77022.0,77022.0,77088.0
L1,156,P000388,77880.0,77880.0,77946.0
L1,157,P002937,78210.0,78210.0,78276.0
L1,158,P006696,78804.0,78804.0,78870.0
L1,159,P007605,78870.0,78870.0,78936.0
L1,160,P006100,79530.0,79530.0,79596.0
L1,161,P004259,80454.0,80454.0,80520.0
L1,162,P001060,80784.0,80784.0,80850.0
L1,163,P007233,81840.0,81840.0,81906.0
L1,164,P005162,82302.0,82302.0,82368.0
L1,165,P002893,82566.0,82566.0,82632.0
L1,166,P006270,82698.0,82698.0,82764.0
L1,167,P000087,83358.0,83358.0,83424.0
L1,168,P004002,84348.0,84348.0,84414.0
L1,169,P003069,84612.0,84612.0,84678.0
L1,170,P002683,85008.0,85008.0,85074.0
L1,171,P004992,85074.0,85074.0,85140.0
L1,172,P000291,85998.0,85998.0,86064.0
L1,173,P002829,86262.0,86262.0,86328.0
L1,174,P007354,86328.0,86328.0,86394.0
L1,175,P000370,87318.0,87318.0,87384.0
L1,176,P005641,87846.0,87846.0,87912.0
L1,177,P000808,88440.0,88440.0,88506.0
L1,178,P003403,88836.0,88836.0,88902.0
L1,179,P002401,89892.0,89892.0,89958.0
L1,180,P002827,90090.0,90090.0,90156.0
L1,181,P000247,90750.0,90750.0,90816.0
L1,182,P001867,90816.0,90816.0,90882.0
L1,183,P001787,91212.0,91212.0,91278.0
L1,184,P002058,91674.0,91674.0,91740.0
L1,185,P005458,92664.0,92664.0,92730.0
L1,186,P002970,93126.0,93126.0,93192.0
L1,187,P004398,93324.0,93324.0,93390.0
L1,188,P001266,94314.0,94314.0,94380.0
L1,189,P005488,94380.0,94380.0,94446.0
L1,190,P003468,94710.0,94710.0,94776.0
L1,191,P003299,95568.0,95568.0,95634.0
L1,192,P002453,96294.0,96294.0,96360.0
L1,193,P000185,96822.0,96822.0,96888.0
L1,194,P006141,97086.0,97086.0,97152.0
L1,195,P005876,97944.0,97944.0,98010.0
L1,196,P006936,98538.0,98538.0,98604.0
L1,197,P002514,99528.0,99528.0,99594.0
L1,198,P003971,100452.0,100452.0,100518.0
L1,199,P004833,101508.0,101508.0,101574.0
L1,200,P005256,102102.0,102102.0,102168.0
L1,201,P004198,102696.0,102696.0,102762.0
L1,202,P003798,103422.0,103422.0,103488.0
L1,203,P005473,104478.0,104478.0,104544.0
L1,204,P006802,105468.0,105468.0,105534.0
L1,205,P003515,105864.0,105864.0,105930.0
L1,206,P006978,106854.0,106854.0,106920.0
L1,207,P003707,107250.0,107250.0,107316.0
L1,208,P005187,108174.0,108174.0,108240.0
L1,209,P006471,108834.0,108834.0,108900.0
L1,210,P007301,109626.0,109626.0,109692.0
L1,211,P007457,110682.0,110682.0,110748.0
L1,212,P000402,111672.0,111672.0,111738.0
L1,213,P001101,111738.0,111738.0,111804.0
L1,214,P005584,111804.0,111804.0,111870.0
L1,215,P004313,112332.0,112332.0,112398.0
L1,216,P000227,112464.0,112464.0,112530.0
L1,217,P006905,112530.0,112530.0,112596.0
L1,218,P002029,112794.0,112794.0,112860.0
L1,219,P007573,113586.0,113586.0,113652.0
L1,220,P003440,113652.0,113652.0,113718.0
L1,221,P006757,114048.0,114048.0,114114.0
L1,222,P004744,114642.0,114642.0,114708.0
L1,223,P006332,114972.0,114972.0,115038.0
L1,224,P004545,116028.0,116028.0,116094.0
L1,225,P004247,116688.0,116688.0,116754.0
L1,226,P004715,117084.0,117084.0,117150.0
L1,227,P006156,117150.0,117150.0,117216.0
L1,228,P002509,117414.0,117414.0,117480.0
L1,229,P003400,117678.0,117678.0,117744.0
L1,230,P007261,117744.0,117744.0,117810.0
L1,231,P000323,118668.0,118668.0,118734.0
L1,232,P002116,119130.0,119130.0,119196.0
L1,233,P000613,119922.0,119922.0,119988.0
L1,234,P004724,120780.0,120780.0,120846.0
L1,235,P004360,121374.0,121374.0,121440.0
L1,236,P002703,121440.0,121440.0,121506.0
L1,237,P001171,122364.0,122364.0,122430.0
L1,238,P000912,122430.0,122430.0,122496.0
L1,239,P003380,123288.0,123288.0,123354.0
L1,240,P004739,123684.0,123684.0,123750.0
L1,241,P003749,123750.0,123750.0,123816.0
L1,242,P002020,124410.0,124410.0,124476.0
L1,243,P003938,125400.0,125400.0,125466.0
L1,244,P000434,126390.0,126390.0,126456.0
L1,245,P001261,126654.0,126654.0,126720.0
L1,246,P000134,127380.0,127380.0,127446.0
L1,247,P001510,127710.0,127710.0,127776.0
L1,248,P003064,128106.0,128106.0,128172.0
L1,249,P005542,128832.0,128832.0,128898.0
L1,250,P001351,129492.0,129492.0,129558.0
L1,251,P005355,129558.0,129558.0,129624.0
L1,252,P006784,129624.0,129624.0,129690.0
L1,253,P000354,129756.0,129756.0,129822.0
L1,254,P004107,130152.0,130152.0,130218.0
L1,255,P001666,131142.0,131142.0,131208.0
